windfield,geometry,sar_speed,sar_dir,dx,dy,ratio,style_css,lat,lon,u,v,safe_id,era5_speed
wind_10,POINT (71.39591522216797 19.712896728515624),5.4,117.84474383025857,-636.79,195.07,0.86,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.712896728515624,71.39591522216797,-4.7747690542562555,2.522217373367494,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.095099957815732
wind_11,POINT (71.81431062117868 19.639959799725077),5.7,138.54997799257552,-529.01,404.61,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.639959799725077,71.81431062117868,-3.773209031332937,4.272340530185716,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.3785928259096245
wind_15,POINT (72.60971016261888 19.289891649329142),9.3,25.03172981992991,-167.08,-644.7,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.289891649329142,72.60971016261888,-3.9350169387824816,-8.426484539325694,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.423712193426018
wind_16,POINT (71.98371980086617 19.401994439829952),6.7,139.9991476276224,-519.53,416.71,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.401994439829952,71.98371980086617,-4.306753339075601,5.132433699168569,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.420968990246749
wind_17,POINT (72.40113279923149 19.327500534057616),6.8,154.35480137908704,-401.07,531.69,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.327500534057616,72.40113279923149,-2.9430198595942914,6.130141442579739,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.2781703994011115
wind_18,POINT (71.77487925653872 19.438877420840058),5.9,134.05265924126306,-559.29,361.59,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.438877420840058,71.77487925653872,-4.240336206710597,4.102383313887086,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.313348675854757
wind_20,POINT (71.56595498789912 19.47552389061969),6.7,158.2117030180884,-361.27,559.5,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.47552389061969,71.56595498789912,-2.4868937980923667,6.221363133350257,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.135815418922098
wind_22,POINT (72.192468527089 19.36487345488175),8.3,157.1404919087956,-373.88,551.16,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.36487345488175,72.192468527089,-3.224324534779414,7.6481194613067816,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.501305720482949
wind_23,POINT (71.3570327758789 19.511917877197263),10.6,175.63126348114017,-173.71,642.95,0.85,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.511917877197263,71.3570327758789,-0.8074547267222868,10.56920133521421,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.109074294645573
wind_26,POINT (72.98535056736159 19.012671097465184),20.0,15.225082789926088,-52.0,-663.97,0.96,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.012671097465184,72.98535056736159,-5.252232315789814,-19.298032430819813,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,4.338189765762222
wind_28,POINT (72.5691783739173 19.088632003120754),9.4,171.79915407951628,-221.39,628.13,0.86,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.088632003120754,72.5691783739173,-1.3408493403231814,9.303876775116645,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.943606207221055
wind_29,POINT (72.77732285209325 19.05076764977497),20.0,181.88856369119804,-104.79,657.7,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.05076764977497,72.77732285209325,0.6591137244820232,19.98913627694302,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.424037972261017
wind_30,POINT (72.36086671248727 19.12628107485564),5.6,99.58202601609678,-665.85,-14.32,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.12628107485564,72.36086671248727,-5.521870506746088,0.9321727880214578,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.196049228620252
wind_31,POINT (71.9439873073412 19.200863547947094),7.6,146.3794924786261,-470.02,471.85,0.95,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.200863547947094,71.9439873073412,-4.208041234357939,6.328695676831309,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.346015266804466
wind_32,POINT (71.73541425622028 19.237794461457625),7.8,148.66141260913744,-450.23,490.77,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.237794461457625,71.73541425622028,-4.056736728746715,6.662048267135071,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.132238674283558
wind_33,POINT (72.15247278628142 19.16369811348293),6.6,125.56657314843152,-606.79,274.53,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.16369811348293,72.15247278628142,-5.368705572184549,3.838880107426457,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.33826787714713
wind_34,POINT (71.52676026717477 19.274492263793945),6.5,137.67334617213425,-534.93,396.75,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.274492263793945,71.52676026717477,-4.376817346729302,4.805566554878776,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.045605873799285
wind_35,POINT (71.31810760498047 19.31093978881836),6.3,141.13044164890064,-509.65,428.73,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.31093978881836,71.31810760498047,-3.9535617429060426,4.905033082969954,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.117546433030743
wind_40,POINT (72.73662281865658 18.84945011968198),11.2,183.67551957496323,-84.38,660.63,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.84945011968198,72.73662281865658,0.7179864041026102,11.176962714598444,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.0114680363264394
wind_41,POINT (71.69597579292629 19.03670234680176),4.4,137.72629515843315,-535.23,396.33,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.03670234680176,71.69597579292629,-2.959761193407794,3.2557355049200902,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.163077912686162
wind_42,POINT (72.52867710279382 18.887364030920942),5.7,113.19831178276944,-651.35,138.91,0.86,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.887364030920942,72.52867710279382,-5.239137594107122,2.2453145147202513,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.217115207405329
wind_43,POINT (72.320629352072 18.92505227793818),8.3,146.36484223952482,-471.47,470.39,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.92505227793818,72.320629352072,-4.597391090782525,6.91042655401195,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.248892927962515
wind_44,POINT (71.48758724046789 19.073450602655825),4.9,131.44599390615508,-574.66,336.63,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.073450602655825,71.48758724046789,-3.672941819403182,3.243377620826666,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.978116913159745
wind_45,POINT (71.90428214695143 18.999723517376445),7.0,154.5256662373079,-398.16,533.88,0.97,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.999723517376445,71.90428214695143,-3.010747118463569,6.319446319786514,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.460950890468478
wind_46,POINT (72.11249840777853 18.96251094652259),6.6,130.17056512622375,-583.16,321.68,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.96251094652259,72.11249840777853,-5.043241647388294,4.257430408832092,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.452530146262923
wind_47,POINT (71.27920684814453 19.10995216369629),7.1,129.7557430801098,-583.95,320.26,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.10995216369629,71.27920684814453,-5.458321908720923,4.540564055354486,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.984725831787964
wind_5,POINT (72.65022755498471 19.491149437945822),20.0,22.73429500211296,-143.45,-650.37,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,19.491149437945822,72.65022755498471,-7.729163364185466,-18.446138720332048,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,5.18255400413006
wind_51,POINT (71.8646371592646 18.798567365563432),5.9,128.2782521865142,-593.04,303.09,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.798567365563432,71.8646371592646,-4.63156822825264,3.6549385421701297,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.647903306357656
wind_53,POINT (72.69592815896739 18.648128575864046),13.8,12.814819476313197,-23.58,-665.58,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.648128575864046,72.69592815896739,-3.0608498155943695,-13.456269854843724,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.144882534422244
wind_54,POINT (72.48823255456013 18.686081828241765),5.7,108.04475963211787,-661.07,80.93,0.97,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.686081828241765,72.48823255456013,-5.41964448042335,1.7656312485388088,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.400760937094914
wind_55,POINT (71.65660081946332 18.835593663091245),5.4,129.34995709637158,-586.97,314.67,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.835593663091245,71.65660081946332,-4.17575336856183,3.4238989186225295,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.356883810834608
wind_56,POINT (72.28045455269191 18.723808255402936),6.6,137.50775993526025,-538.23,392.25,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.723808255402936,72.28045455269191,-4.458236291630304,4.866634275142367,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.486519616143485
wind_57,POINT (71.44848068900731 18.87239177538001),5.9,139.07957755239764,-525.21,409.52,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.87239177538001,71.44848068900731,-3.8645601076544387,4.458158271565279,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.133719683775918
wind_58,POINT (72.07259096891984 18.761309681768005),6.7,148.76239172049895,-450.74,490.3,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,18.761309681768005,72.07259096891984,-3.4745419371839197,5.728661128636447,S1A_IW_GRDH_1SDV_20250531T010322_20250531T010347_059431_07608E_B23F,6.758542585630976
